name,album,duration_ms,popularity,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
The Memory Remains - Live,Metallica Through The Never (Music From The Motion Picture),342800,40,2013/01/01,0.289,0.887,-7.15,0.0679,0.00422,4.09E-05,0.875,0.194,81.819
Wherever I May Roam - Live,Metallica Through The Never (Music From The Motion Picture),378280,40,2013/01/01,0.318,0.921,-5.793,0.0546,0.00037,0.00282,0.924,0.239,145.103
Cyanide - Live,Metallica Through The Never (Music From The Motion Picture),421427,36,2013/01/01,0.295,0.933,-6.966,0.0598,6.93E-05,0.0155,0.938,0.248,140.476
...And Justice For All - Live,Metallica Through The Never (Music From The Motion Picture),557733,37,2013/01/01,0.368,0.898,-7.376,0.0397,4.88E-05,0.0931,0.956,0.308,95.023
Master Of Puppets - Live,Metallica Through The Never (Music From The Motion Picture),505360,46,2013/01/01,0.326,0.947,-7.177,0.0612,4.95E-05,0.0174,0.965,0.283,116.188
Battery - Live,Metallica Through The Never (Music From The Motion Picture),313587,37,2013/01/01,0.341,0.982,-6.925,0.126,0.000157,0.00246,0.412,0.0833,101.51
Nothing Else Matters - Live,Metallica Through The Never (Music From The Motion Picture),441960,40,2013/01/01,0.265,0.658,-6.855,0.0314,0.0723,0.00113,0.659,0.06,163.236
Enter Sandman - Live,Metallica Through The Never (Music From The Motion Picture),381667,41,2013/01/01,0.323,0.914,-7.349,0.0891,0.00265,0.000381,0.953,0.185,139.058
Hit The Lights - Live,Metallica Through The Never (Music From The Motion Picture),279867,35,2013/01/01,0.231,0.908,-7.77,0.0772,3.96E-05,0.0626,0.89,0.429,166.523
Orion - Live,Metallica Through The Never (Music From The Motion Picture),506867,41,2013/01/01,0.29,0.76,-8.37,0.0427,0.00124,0.924,0.0544,0.477,166.573
Brandenburg Gate,Lulu,259720,26,2011/11/01,0.334,0.779,-3.981,0.0508,0.0233,0,0.168,0.282,122.705
The View,Lulu,317467,24,2011/11/01,0.252,0.919,-2.949,0.0701,0.000338,0,0.107,0.3,74.158
Pumping Blood,Lulu,444133,20,2011/11/01,0.328,0.902,-5.125,0.132,0.00533,3.88E-05,0.152,0.271,135.223
Mistress Dread,Lulu,411493,18,2011/11/01,0.259,0.978,-4.611,0.102,0.000221,0.00632,0.177,0.0488,102.939
Iced Honey,Lulu,275947,19,2011/11/01,0.417,0.912,-3.475,0.0645,0.00561,0,0.0957,0.43,116.098
Cheat on Me,Lulu,686267,17,2011/11/01,0.352,0.715,-5.552,0.0465,0.0089,0.00215,0.128,0.0421,103.433
Frustration,Lulu,513973,17,2011/11/01,0.309,0.742,-5.274,0.116,0.00106,0.0427,0.135,0.152,173.88
Little Dog,Lulu,481680,16,2011/11/01,0.393,0.192,-17.568,0.035,0.845,0.0256,0.112,0.161,116.367
Dragon,Lulu,668173,17,2011/11/01,0.374,0.91,-4.993,0.121,0.00576,0.000143,0.142,0.0999,121.713
Junior Dad,Lulu,1168907,19,2011/11/01,0.253,0.248,-9.062,0.0355,0.0196,0.597,0.111,0.0698,112.217
"Eye Of The Beholder - Live At Festival Hall, Melbourne, Australia",Six Feet Down Under,390787,5,2010/01/01,0.191,0.873,-8.544,0.0856,0.0278,0.346,0.764,0.196,115.223
"...And Justice For All - Live At Festival Hall, Melbourne, Australia",Six Feet Down Under,591747,3,2010/01/01,0.188,0.941,-7.515,0.0704,0.117,0.6,0.972,0.177,90.455
"Through The Never - Live At The Entertainment Centre In Perth, Australia",Six Feet Down Under,218173,2,2010/01/01,0.325,0.988,-7.037,0.115,0.198,0.882,0.689,0.163,107.2
"The Unforgiven - Live At The National Tennis Centre In Melbourne, Australia",Six Feet Down Under,420507,4,2010/01/01,0.393,0.699,-9.818,0.0416,0.000215,0.122,0.876,0.171,73.266
"Low Mans Lyric - Acoustic - Live At The Entertainment Centre In Perth, Australia",Six Feet Down Under,418413,5,2010/01/01,0.487,0.527,-8.938,0.0273,0.577,2.52E-05,0.369,0.443,135.758
"Devils Dance - Live At The Entertainment Centre In Perth, Australia",Six Feet Down Under,347053,3,2010/01/01,0.564,0.643,-8.032,0.0409,0.0284,0.118,0.0558,0.486,94.742
"Frantic - Live At The Entertainment Centre In Sydney, Australia",Six Feet Down Under,464187,4,2010/01/01,0.226,0.909,-8.188,0.0893,0.263,0.00666,0.931,0.413,172.513
"Fight Fire With Fire - Live At The Entertainment Centre In Brisbane, Australia",Six Feet Down Under,309120,3,2010/01/01,0.279,0.994,-5.905,0.0942,0.018,0.0335,0.442,0.0489,103.659
Blackened - Live From Brisbane,Six Feet Down Under Part 2,386566,6,2010/01/01,0.249,0.967,-4.04,0.0786,0.000986,0.00164,0.403,0.168,136.393
Ride The Lightning - Live From Auckland,Six Feet Down Under Part 2,429707,5,2010/01/01,0.237,0.98,-3.264,0.1,0.00054,0.000558,0.817,0.445,152.512
The Four Horseman - Live From Sydney,Six Feet Down Under Part 2,320107,4,2010/01/01,0.287,0.982,-2.128,0.0906,0.00191,3.05E-05,0.949,0.277,114.911
Welcome Home (Sanitarium) - Live From Melbourne,Six Feet Down Under Part 2,382804,6,2010/01/01,0.286,0.959,-3.649,0.0769,0.00187,0.00131,0.92,0.252,116.57
Master Of Puppets - Live From Brisbane,Six Feet Down Under Part 2,503440,5,2010/01/01,0.254,0.96,-2.55,0.0689,0.000536,0.00101,0.136,0.378,115.696
...And Justice For All - Live From Brisbane,Six Feet Down Under Part 2,547773,4,2010/01/01,0.311,0.941,-2.587,0.0506,0.000384,0.00111,0.336,0.311,95.42
Fade To Black - Live From Sydney,Six Feet Down Under Part 2,453280,7,2010/01/01,0.138,0.948,-3.313,0.0729,0.00543,0.00313,0.971,0.372,75.698
"Damage, Inc. - Live From Christchurch",Six Feet Down Under Part 2,324813,4,2010/01/01,0.303,0.942,-5.096,0.155,0.0121,0.000609,0.362,0.125,100.934
That Was Just Your Life,Death Magnetic,428320,44,2008/09/12,0.251,0.994,-2.29,0.109,0.000577,0.0018,0.0898,0.361,189.891
The End Of The Line,Death Magnetic,472360,45,2008/09/12,0.335,0.985,-2.383,0.0921,0.000115,0.000807,0.135,0.202,106.552
"Broken, Beat & Scarred",Death Magnetic,385467,44,2008/09/12,0.323,0.982,-1.459,0.0869,4.90E-05,0.00415,0.237,0.48,121.895
The Day That Never Comes,Death Magnetic,476267,58,2008/09/12,0.334,0.986,-1.046,0.0576,0.000114,0.0353,0.0805,0.48,124.668
All Nightmare Long,Death Magnetic,477013,55,2008/09/12,0.271,0.985,-0.805,0.123,0.000568,0.00112,0.0809,0.354,182.981
Cyanide,Death Magnetic,399547,46,2008/09/12,0.313,0.993,-0.463,0.0751,0.000119,0.000335,0.303,0.497,129.255
The Unforgiven III,Death Magnetic,466587,55,2008/09/12,0.298,0.766,-3.485,0.0347,0.00203,3.84E-06,0.117,0.0923,121.555
The Judas Kiss,Death Magnetic,480760,41,2008/09/12,0.412,0.975,-0.974,0.0719,0.000444,0.00325,0.0387,0.465,88.673
Suicide & Redemption,Death Magnetic,597720,41,2008/09/12,0.256,0.955,-2.224,0.0733,4.78E-05,0.836,0.0877,0.396,164.397
My Apocalypse,Death Magnetic,301013,42,2008/09/12,0.262,0.993,-1.27,0.199,0.000199,0.00182,0.0962,0.279,199.915
Some Kind Of Monster,Some Kind Of Monster,505706,32,2004/07/13,0.339,0.937,-5.248,0.053,0.000487,0.197,0.178,0.633,106.981
The Four Horsemen - Live,Some Kind Of Monster,320586,26,2004/07/13,0.319,0.987,-3.069,0.0577,7.67E-05,0.00617,0.351,0.319,110.84
"Damage, Inc. - Live",Some Kind Of Monster,299239,24,2004/07/13,0.32,0.979,-3.418,0.0607,7.06E-05,0.0313,0.853,0.336,98.362
Leper Messiah - Live,Some Kind Of Monster,355679,24,2004/07/13,0.367,0.973,-3.091,0.057,6.37E-05,0.0157,0.832,0.428,139.929
Motorbreath - Live,Some Kind Of Monster,199932,23,2004/07/13,0.316,0.994,-2.727,0.104,0.000786,0.000437,0.516,0.354,101.203
Ride The Lightning - Live,Some Kind Of Monster,400919,25,2004/07/13,0.286,0.988,-2.91,0.0562,3.15E-05,0.184,0.97,0.54,151.126
Hit The Lights - Live,Some Kind Of Monster,252359,22,2004/07/13,0.252,0.993,-2.618,0.15,0.000104,0.197,0.904,0.332,169.31
Some Kind Of Monster - Edit,Some Kind Of Monster,256799,32,2004/07/13,0.405,0.893,-3.453,0.0715,0.000183,0.00529,0.121,0.439,104.882
Some Kind Of Monster,Some Kind Of Monster (Live),505547,24,2004/07/13,0.337,0.938,-5.266,0.0532,0.000475,0.238,0.186,0.648,105.377
The Four Horsemen - Live,Some Kind Of Monster (Live),320587,17,2004/07/13,0.408,0.988,-3.068,0.0526,9.28E-05,0.00448,0.353,0.33,110.817
"Damage, Inc. - Live",Some Kind Of Monster (Live),299240,15,2004/07/13,0.306,0.98,-3.478,0.0623,5.29E-05,0.0291,0.857,0.35,98.824
Leper Messiah - Live,Some Kind Of Monster (Live),355680,15,2004/07/13,0.37,0.97,-3.139,0.0558,7.25E-05,0.015,0.869,0.462,139.831
Motorbreath - Live,Some Kind Of Monster (Live),199933,14,2004/07/13,0.367,0.994,-2.761,0.113,0.000897,8.44E-05,0.616,0.363,101.632
Ride The Lightning - Live,Some Kind Of Monster (Live),400920,16,2004/07/13,0.29,0.989,-2.908,0.0583,3.69E-05,0.113,0.966,0.528,150.965
Hit The Lights - Live,Some Kind Of Monster (Live),252360,14,2004/07/13,0.26,0.993,-2.589,0.137,9.97E-05,0.212,0.916,0.391,164.085
Some Kind Of Monster - Edit,Some Kind Of Monster (Live),256747,23,2004/07/13,0.393,0.895,-3.483,0.073,0.00017,0.00386,0.208,0.421,105.332
Frantic,St. Anger,350360,47,2003/06/05,0.483,0.978,-3.063,0.0882,0.00497,0.125,0.0782,0.563,161.764
St. Anger,St. Anger,441133,55,2003/06/05,0.249,0.949,-2.642,0.0678,0.00131,0.0228,0.0953,0.498,185.252
Some Kind Of Monster,St. Anger,505547,44,2003/06/05,0.337,0.938,-5.266,0.0532,0.000475,0.238,0.186,0.648,105.377
Dirty Window,St. Anger,324907,39,2003/06/05,0.366,0.981,-4.234,0.0843,0.0121,0.000136,0.386,0.439,127.454
Invisible Kid,St. Anger,510093,37,2003/06/05,0.491,0.988,-5.205,0.0908,0.0065,0.516,0.0569,0.408,157.839
My World,St. Anger,345533,35,2003/06/05,0.329,0.982,-4.456,0.083,0.0018,0.00456,0.281,0.351,99.153
Shoot Me Again,St. Anger,430107,37,2003/06/05,0.55,0.927,-4.324,0.0815,0.00061,0.0135,0.0458,0.347,111.432
Sweet Amber,St. Anger,327133,38,2003/06/05,0.479,0.913,-5.335,0.0625,0.00114,0.000107,0.226,0.413,93.213
The Unnamed Feeling,St. Anger,427893,38,2003/06/05,0.469,0.915,-5.235,0.0643,0.000826,0.00421,0.11,0.441,140.421
Purify,St. Anger,313933,34,2003/06/05,0.506,0.988,-3.139,0.0733,0.00213,0.00399,0.296,0.235,105.531
All Within My Hands,St. Anger,525893,36,2003/06/05,0.553,0.966,-4.489,0.086,0.00392,0.00241,0.237,0.302,105.786
The Ecstasy Of Gold - Live with the SFSO,S&M,150600,39,1999/11/23,0.203,0.589,-8.763,0.0573,0.331,0.604,0.825,0.0484,85.735
The Call Of Ktulu - Live with the SFSO,S&M,574267,38,1999/11/23,0.284,0.937,-5.11,0.0534,3.72E-05,0.84,0.426,0.0929,131.852
Master Of Puppets - Live with the SFSO,S&M,534773,40,1999/11/23,0.279,0.99,-3.312,0.0971,6.36E-06,0.00442,0.726,0.24,107.146
Of Wolf And Man - Live with the SFSO,S&M,258867,36,1999/11/23,0.392,0.977,-3.497,0.0725,1.36E-05,5.57E-05,0.979,0.277,125.687
The Thing That Should Not Be - Live with the SFSO,S&M,446667,36,1999/11/23,0.263,0.914,-5.474,0.0593,9.07E-06,0.0607,0.379,0.18,112.99
Fuel - Live with the SFSO,S&M,275893,38,1999/11/23,0.295,0.99,-4.04,0.177,1.70E-05,0.000151,0.71,0.148,115.569
The Memory Remains - Live with the SFSO,S&M,282373,37,1999/11/23,0.326,0.975,-4.763,0.0868,0.000243,0.000476,0.962,0.324,76.444
No Leaf Clover - Live with the SFSO,S&M,343200,53,1999/11/23,0.246,0.952,-5.045,0.114,0.000558,0.00193,0.959,0.387,151.374
Hero Of The Day - Live with the SFSO,S&M,284627,40,1999/11/23,0.252,0.895,-5.34,0.0969,0.000771,0.000402,0.984,0.223,121.658
Devils Dance - Live with the SFSO,S&M,326000,35,1999/11/23,0.481,0.927,-3.615,0.047,2.82E-05,0.00432,0.988,0.371,96.39
Bleeding Me - Live with the SFSO,S&M,541640,36,1999/11/23,0.27,0.909,-4.983,0.0577,5.52E-05,0.000183,0.977,0.333,132.409
Nothing Else Matters - Live with the SFSO,S&M,407267,40,1999/11/23,0.276,0.611,-7.889,0.0343,0.000539,0.0791,0.975,0.0857,144.977
Until It Sleeps - Live with the SFSO,S&M,269973,36,1999/11/23,0.271,0.946,-4.161,0.0639,9.89E-06,0.000257,0.408,0.32,124.968
For Whom The Bell Tolls - Live with the SFSO,S&M,292160,38,1999/11/23,0.318,0.978,-3.93,0.127,1.51E-05,0.00829,0.978,0.171,126.87
Human - Live with the SFSO,S&M,259800,37,1999/11/23,0.289,0.918,-4.761,0.0545,3.04E-05,0.0213,0.988,0.366,97.739
Wherever I May Roam - Live with the SFSO,S&M,421467,35,1999/11/23,0.26,0.943,-4.193,0.0661,1.87E-05,0.00342,0.958,0.191,136.349
The Outlaw Torn - Live with the SFSO,S&M,598907,35,1999/11/23,0.327,0.882,-5.307,0.0493,1.65E-05,0.00419,0.983,0.389,126.022
Sad But True - Live with the SFSO,S&M,346267,35,1999/11/23,0.294,0.977,-3.732,0.0731,1.59E-05,0.00209,0.928,0.243,92.375
One - Live with the SFSO,S&M,473067,37,1999/11/23,0.292,0.949,-5.735,0.134,6.57E-06,0.279,0.992,0.238,124.283
Enter Sandman - Live with the SFSO,S&M,459133,36,1999/11/23,0.278,0.97,-4.537,0.145,0.000144,0.0481,0.966,0.152,131.288
Battery - Live with the SFSO,S&M,444667,34,1999/11/23,0.239,0.976,-5.29,0.344,0.000109,0.362,0.954,0.125,96.485
Free Speech For The Dumb,"Garage, Inc.",155533,37,1998/11/24,0.441,0.941,-4.589,0.0383,1.81E-06,0.857,0.365,0.525,101.768
Its Electric,"Garage, Inc.",213933,39,1998/11/24,0.496,0.968,-3.152,0.0929,0.000184,0,0.112,0.619,90.918
Sabbra Cadabra,"Garage, Inc.",380240,41,1998/11/24,0.338,0.951,-3.277,0.0621,0.000222,6.89E-06,0.107,0.344,141.016
Turn The Page,"Garage, Inc.",366400,62,1998/11/24,0.422,0.818,-3.941,0.0319,1.64E-05,0.0137,0.0931,0.228,149.045
"Die, Die My Darling","Garage, Inc.",149333,53,1998/11/24,0.449,0.975,-2.789,0.0582,0.00045,0,0.14,0.785,178.069
Loverman,"Garage, Inc.",472693,39,1998/11/24,0.515,0.512,-6.017,0.0429,0.00174,0.000134,0.106,0.255,128.958
Mercyful Fate,"Garage, Inc.",671573,39,1998/11/24,0.328,0.952,-4.037,0.0635,1.12E-05,0.000334,0.0721,0.535,139.295
Astronomy,"Garage, Inc.",397533,40,1998/11/24,0.331,0.782,-5.624,0.0413,0.000157,0.0106,0.146,0.157,85.741
Whiskey In The Jar,"Garage, Inc.",304893,67,1998/11/24,0.511,0.972,-3.751,0.0413,5.36E-06,0.00101,0.19,0.532,132.97
Tuesdays Gone,"Garage, Inc.",545733,48,1998/11/24,0.457,0.599,-5.693,0.0273,0.0115,3.41E-06,0.709,0.31,136.102
The More I See,"Garage, Inc.",288733,35,1998/11/24,0.416,0.959,-5.139,0.0495,2.81E-06,0.0349,0.117,0.054,94.821
Helpless,"Garage, Inc.",398333,37,1998/11/24,0.309,0.985,-5.261,0.0756,4.24E-06,0.0115,0.101,0.602,150.289
The Small Hours,"Garage, Inc.",403240,38,1998/11/24,0.478,0.858,-4.665,0.0388,0.000443,0.188,0.0822,0.554,89.314
The Wait,"Garage, Inc.",295267,41,1998/11/24,0.338,0.974,-4.896,0.0493,4.57E-05,0.633,0.104,0.69,163.94
Crash Course In Brain Surgery,"Garage, Inc.",190333,39,1998/11/24,0.555,0.984,-4.232,0.105,5.21E-05,0.355,0.0366,0.421,87.663
Last Caress / Green Hell,"Garage, Inc.",209800,40,1998/11/24,0.339,0.998,-4.532,0.0568,3.23E-05,0.0292,0.0238,0.273,103.25
Am I Evil?,"Garage, Inc.",470133,45,1998/11/24,0.349,0.943,-5.704,0.0922,0.00129,0.454,0.0529,0.518,97.491
Blitzkrieg,"Garage, Inc.",216800,39,1998/11/24,0.492,0.968,-6.332,0.0559,0.000834,0.533,0.0661,0.631,98.825
Breadfan,"Garage, Inc.",341267,41,1998/11/24,0.38,0.926,-7.49,0.0715,0.000338,0.136,0.638,0.148,123.285
The Prince,"Garage, Inc.",265667,34,1998/11/24,0.269,0.957,-6.261,0.109,4.43E-05,0.02,0.0972,0.562,164.071
Stone Cold Crazy,"Garage, Inc.",137627,42,1998/11/24,0.448,0.942,-3.298,0.0819,0.000164,0.000258,0.0564,0.611,126.301
So What,"Garage, Inc.",188973,41,1998/11/24,0.533,0.983,-2.964,0.0674,0.00118,3.13E-05,0.378,0.382,94.938
Killing Time,"Garage, Inc.",183733,33,1998/11/24,0.47,0.99,-3.523,0.0584,0.000171,0.00414,0.12,0.353,117.054
Overkill,"Garage, Inc.",244960,35,1998/11/24,0.387,0.995,-3.97,0.211,4.11E-06,0.844,0.131,0.0553,132.23
Damage Case,"Garage, Inc.",220307,33,1998/11/24,0.453,0.988,-2.775,0.0734,8.15E-05,0.211,0.218,0.294,81.801
Stone Dead Forever,"Garage, Inc.",291960,32,1998/11/24,0.348,0.989,-3.329,0.088,3.42E-05,0.183,0.151,0.331,102.423
Too Late Too Late,"Garage, Inc.",192133,33,1998/11/24,0.458,0.989,-3.439,0.0751,2.79E-05,0.0336,0.0445,0.327,98.027
Free Speech For The Dumb,Garage Inc.,155493,43,1998/01/01,0.446,0.943,-4.584,0.0385,1.76E-06,0.765,0.37,0.561,101.684
Its Electric,Garage Inc.,213933,47,1998/01/01,0.485,0.967,-3.151,0.0909,0.000233,0,0.173,0.63,90.905
Sabbra Cadabra,Garage Inc.,380240,49,1998/01/01,0.338,0.951,-3.313,0.0576,0.000223,8.04E-06,0.107,0.363,141.377
Turn The Page,Garage Inc.,366467,66,1998/01/01,0.426,0.813,-3.963,0.0318,1.94E-05,0.022,0.0937,0.228,149.013
"Die, Die My Darling",Garage Inc.,146560,63,1998/01/01,0.438,0.976,-2.757,0.0576,0.000369,0,0.194,0.791,178.03
Loverman,Garage Inc.,472827,47,1998/01/01,0.522,0.517,-6,0.0415,0.00145,0.000159,0.103,0.236,129.148
Mercyful Fate,Garage Inc.,670373,45,1998/01/01,0.329,0.95,-4.059,0.063,1.09E-05,0.000225,0.0516,0.534,139.312
Astronomy,Garage Inc.,397840,48,1998/01/01,0.345,0.778,-5.631,0.0407,0.000146,0.0124,0.136,0.148,86.221
Whiskey In The Jar,Garage Inc.,304693,76,1998/01/01,0.511,0.97,-3.72,0.0414,5.60E-06,0.00136,0.18,0.566,132.986
Tuesdays Gone,Garage Inc.,543867,51,1998/01/01,0.457,0.594,-5.722,0.028,0.0116,5.11E-06,0.691,0.33,136.237
The More I See,Garage Inc.,288667,42,1998/01/01,0.304,0.957,-5.144,0.0515,3.28E-06,0.0233,0.122,0.0455,94.84
Helpless,Garage Inc.,396920,41,1998/01/01,0.308,0.986,-5.232,0.0716,4.78E-06,0.0121,0.0979,0.612,150.299
The Small Hours,Garage Inc.,400800,40,1998/01/01,0.487,0.861,-4.655,0.0388,0.00062,0.233,0.1,0.505,90.6
The Wait,Garage Inc.,292960,46,1998/01/01,0.338,0.975,-4.915,0.0507,5.28E-05,0.602,0.246,0.674,162.589
Crash Course In Brain Surgery,Garage Inc.,188827,42,1998/01/01,0.561,0.983,-4.249,0.125,5.01E-05,0.254,0.0338,0.459,87.675
Last Caress / Green Hell,Garage Inc.,210000,45,1998/01/01,0.333,0.998,-4.566,0.0543,2.79E-05,0.0318,0.0213,0.281,102.381
Am I Evil?,Garage Inc.,470067,50,1998/01/01,0.296,0.946,-5.693,0.105,0.00127,0.474,0.0563,0.572,78.684
Blitzkrieg,Garage Inc.,216960,43,1998/01/01,0.493,0.97,-6.34,0.0581,0.000802,0.611,0.0661,0.645,98.736
Breadfan,Garage Inc.,341067,42,1998/01/01,0.354,0.93,-7.46,0.0729,0.000336,0.111,0.62,0.152,103.549
The Prince,Garage Inc.,264800,38,1998/01/01,0.264,0.957,-6.229,0.102,4.35E-05,0.0233,0.0949,0.551,163.959
Stone Cold Crazy,Garage Inc.,137707,50,1998/01/01,0.478,0.94,-3.298,0.0851,0.000197,0.000564,0.0614,0.671,126.151
So What,Garage Inc.,188933,51,1998/01/01,0.543,0.982,-2.988,0.0702,0.00111,1.78E-05,0.417,0.383,94.977
Killing Time,Garage Inc.,183667,42,1998/01/01,0.447,0.99,-3.525,0.0595,0.000153,0.00438,0.156,0.356,116.962
Overkill - Live,Garage Inc.,245000,39,1998/01/01,0.398,0.996,-3.916,0.2,4.56E-06,0.814,0.137,0.0399,132.253
Damage Case - Live,Garage Inc.,220333,38,1998/01/01,0.355,0.989,-2.797,0.0973,9.19E-05,0.237,0.413,0.32,163.003
Stone Dead Forever - Live,Garage Inc.,291933,36,1998/01/01,0.348,0.988,-3.349,0.0845,3.57E-05,0.196,0.157,0.318,102.373
Too Late Too Late - Live,Garage Inc.,192493,38,1998/01/01,0.461,0.988,-3.439,0.0738,3.73E-05,0.0295,0.0264,0.366,98.107
Fuel,Reload,269733,66,1997/11/18,0.491,0.951,-3.775,0.0465,2.30E-05,0.00354,0.0424,0.555,106.948
The Memory Remains,Reload,279240,57,1997/11/18,0.432,0.904,-3.697,0.0432,0.000321,0.00982,0.206,0.6,144.401
Devils Dance,Reload,318960,47,1997/11/18,0.611,0.795,-4.875,0.0318,4.17E-05,0.146,0.0614,0.489,92.582
The Unforgiven II,Reload,396440,59,1997/11/18,0.49,0.884,-4.533,0.0428,0.000514,0.00177,0.27,0.254,132.978
Better Than You,Reload,321600,40,1997/11/18,0.477,0.964,-5.44,0.052,3.59E-05,0.532,0.893,0.459,78.193
Slither,Reload,313200,39,1997/11/18,0.505,0.857,-3.841,0.0352,3.93E-05,0.00777,0.174,0.51,110.501
Carpe Diem Baby,Reload,372200,40,1997/11/18,0.387,0.866,-5.336,0.0346,1.38E-05,0.129,0.161,0.463,142.35
Bad Seed,Reload,245333,39,1997/11/18,0.548,0.946,-4.236,0.0439,2.60E-05,0.00902,0.312,0.713,126.915
Where The Wild Things Are,Reload,414133,38,1997/11/18,0.454,0.888,-4.844,0.0485,0.000375,0.0204,0.109,0.166,92.221
Prince Charming,Reload,365227,38,1997/11/18,0.551,0.975,-3.682,0.0469,1.97E-05,0.000811,0.0235,0.461,99.813
Low Mans Lyric,Reload,457267,41,1997/11/18,0.463,0.677,-6.19,0.0273,0.00232,0.000308,0.352,0.156,130.893
Attitude,Reload,316240,37,1997/11/18,0.458,0.972,-4.38,0.0451,1.28E-05,0.00718,0.331,0.628,155.514
Fixxxer,Reload,495227,40,1997/11/18,0.48,0.837,-4.644,0.0452,0.000163,0.000244,0.0539,0.385,132.695
Aint My B*tch,Load,304173,48,1996/06/04,0.412,0.905,-4.525,0.0315,2.49E-05,0.0464,0.106,0.411,157.603
2 X 4,Load,328200,45,1996/06/04,0.518,0.898,-4.448,0.0352,4.19E-06,0.0134,0.516,0.688,115.792
The House Jack Built,Load,398960,43,1996/06/04,0.277,0.863,-5.378,0.0343,1.51E-05,0.00372,0.134,0.276,94.044
Until It Sleeps,Load,269573,58,1996/06/04,0.562,0.919,-4.458,0.0293,0.000223,0.113,0.142,0.728,113.357
King Nothing,Load,328133,59,1996/06/04,0.528,0.909,-5.712,0.0381,7.77E-05,0.00959,0.0891,0.349,112.083
Hero Of The Day,Load,261693,55,1996/06/04,0.351,0.9,-7.146,0.0357,0.000107,0.0262,0.11,0.777,116.023
Bleeding Me,Load,498133,49,1996/06/04,0.391,0.761,-6.062,0.0319,0.000891,0.0301,0.128,0.247,115.723
Cure,Load,294200,41,1996/06/04,0.609,0.846,-5.43,0.0276,2.00E-05,0.000909,0.0574,0.778,115.274
Poor Twisted Me,Load,240000,39,1996/06/04,0.477,0.919,-4.741,0.0681,9.91E-05,0.045,0.0413,0.476,118.243
Wasting My Hate,Load,237440,42,1996/06/04,0.512,0.92,-5.684,0.0493,0.000108,0.0272,0.111,0.432,81.461
Mama Said,Load,319600,50,1996/06/04,0.451,0.497,-7.694,0.0311,0.0186,0.000505,0.395,0.397,135.298
Thorn Within,Load,351560,39,1996/06/04,0.526,0.897,-5.848,0.0311,1.59E-05,0.408,0.295,0.651,117.699
Ronnie,Load,317200,40,1996/06/04,0.552,0.907,-5.476,0.0329,0.00145,0.00353,0.0481,0.591,84.469
The Outlaw Torn,Load,588600,44,1996/06/04,0.621,0.725,-6.802,0.0318,0.00026,0.0637,0.368,0.418,118.515
Enter Sandman (Live in Mexico City),Live S**t: Binge & Purge,447773,39,1993/11/23,0.223,0.953,-6.617,0.115,0.00029,0.525,0.611,0.0469,133.322
Creeping Death (Live in Mexico City),Live S**t: Binge & Purge,448227,35,1993/11/23,0.244,0.987,-7.448,0.147,4.99E-06,0.159,0.885,0.0611,115.08
Harvester of Sorrow (Live in Mexico City),Live S**t: Binge & Purge,438507,32,1993/11/23,0.305,0.976,-6.593,0.117,0.000273,0.0196,0.6,0.0676,94.904
Welcome Home (Sanitarium) (Live in Mexico City),Live S**t: Binge & Purge,399427,31,1993/11/23,0.257,0.976,-7.565,0.179,7.79E-05,0.0394,0.965,0.0827,114.639
Sad But True (Live in Mexico City),Live S**t: Binge & Purge,367107,33,1993/11/23,0.351,0.965,-6.708,0.0765,0.00173,0.00825,0.98,0.121,89.711
Of Wolf and Man (Live in Mexico City),Live S**t: Binge & Purge,382293,29,1993/11/23,0.218,0.984,-6.376,0.151,0.000622,0.000386,0.809,0.0398,129.711
The Unforgiven (Live in Mexico City),Live S**t: Binge & Purge,408000,32,1993/11/23,0.292,0.94,-6.905,0.0617,0.00263,0.00181,0.984,0.214,147.165
"Justice Medley (Eye of the Beholder, Blackened, The Frayed Ends of Sanity & ...And Justice for All) (Live in Mexico City)",Live S**t: Binge & Purge,578373,29,1993/11/23,0.236,0.987,-5.473,0.236,0.000118,0.00653,0.981,0.0759,90.337
Solos (Bass/Guitar) (Live in Mexico City),Live S**t: Binge & Purge,1128800,25,1993/11/23,0.223,0.756,-12.954,0.126,0.0684,0.316,0.372,0.198,130.459
Through The Never (Live in Mexico City),Live S**t: Binge & Purge,226933,31,1993/11/23,0.378,0.991,-6.311,0.122,6.39E-05,0.00111,0.8,0.06,108.093
For Whom The Bell Tolls (Live in Mexico City),Live S**t: Binge & Purge,348333,30,1993/11/23,0.265,0.959,-7.885,0.125,4.76E-05,0.14,0.977,0.0916,128.292
Fade To Black (Live in Mexico City),Live S**t: Binge & Purge,432333,30,1993/11/23,0.247,0.907,-8.319,0.116,9.09E-05,0.0102,0.986,0.19,115.737
Master Of Puppets (Live in Mexico City),Live S**t: Binge & Purge,275333,30,1993/11/23,0.309,0.979,-6.928,0.169,0.000199,0.000491,0.73,0.12,109.053
Seek & Destroy (Live in Mexico City),Live S**t: Binge & Purge,1088333,31,1993/11/23,0.257,0.968,-5.996,0.123,3.99E-05,0.0218,0.803,0.219,156.881
Whiplash (Live in Mexcio City),Live S**t: Binge & Purge,333667,29,1993/11/23,0.351,0.96,-7.31,0.172,3.64E-05,0.0154,0.985,0.148,93.457
